-0.006,-0.104,0.696,
-0.037,-0.088,0.857,
-0.053,-0.114,0.954,
-0.068,-0.138,1.087,
-0.180,-0.187,1.312,
-0.239,-0.184,1.459,
-0.291,-0.143,1.563,
-0.298,-0.095,1.685,
-0.296,-0.115,1.877,
-0.268,-0.163,1.907,
-0.256,-0.110,1.774,
-0.206,-0.043,1.576,
-0.143,-0.028,1.425,
-0.131,0.033,1.313,
-0.118,0.090,1.153,
-0.101,0.117,1.000,
-0.073,0.162,0.860,
-0.056,0.154,0.729,
-0.074,0.192,0.651,
-0.070,0.231,0.624,
-0.031,0.230,0.534,
0.077,0.187,0.381,
0.185,0.098,0.257,
0.165,0.057,0.298,
0.039,0.089,0.426,
-0.102,0.171,0.592,
-0.133,0.159,0.565,
-0.045,0.100,0.466,
0.038,0.008,0.535,
0.038,-0.019,0.675,
0.007,-0.024,0.749,
-0.046,-0.006,0.775,
-0.052,-0.005,0.776,
-0.040,-0.073,0.853,
-0.086,-0.124,0.997,
-0.186,-0.099,1.158,
-0.248,-0.084,1.170,
-0.231,-0.110,1.138,
-0.226,-0.139,1.226,
-0.272,-0.141,1.429,
-0.264,-0.155,1.536,
-0.230,-0.166,1.512,
-0.225,-0.138,1.547,
-0.232,-0.111,1.606,
-0.222,-0.097,1.558,
-0.217,-0.035,1.451,
-0.194,-0.003,1.345,
-0.191,0.049,1.302,
-0.186,0.081,1.215,
-0.175,0.127,1.112,
-0.163,0.167,0.968,
-0.123,0.159,0.828,
-0.086,0.147,0.717,
-0.113,0.171,0.714,
-0.122,0.165,0.727,
-0.027,0.114,0.606,
0.066,0.096,0.501,
0.100,0.093,0.480,
0.100,0.092,0.489,
0.098,0.075,0.482,
0.064,0.084,0.478,
0.029,0.112,0.502,
0.016,0.093,0.559,
0.013,0.080,0.627,
0.020,0.038,0.624,
-0.005,0.023,0.675,
-0.066,0.008,0.762,
-0.061,-0.015,0.782,
-0.104,-0.029,0.878,
-0.137,-0.037,1.014,
-0.088,-0.111,1.078,
-0.035,-0.163,1.170,
-0.049,-0.168,1.282,
-0.083,-0.146,1.332,
-0.081,-0.137,1.314,
-0.090,-0.125,1.295,
-0.114,-0.085,1.315,
-0.158,-0.079,1.407,
-0.133,-0.064,1.450,
-0.097,-0.070,1.489,
-0.087,-0.056,1.515,
-0.079,-0.052,1.465,
-0.095,-0.024,1.400,
-0.092,-0.003,1.302,
-0.066,-0.002,1.226,
-0.071,0.036,1.145,
-0.067,0.066,0.973,
-0.039,0.082,0.847,
-0.019,0.130,0.777,
0.020,0.098,0.712,
-0.008,0.113,0.675,
-0.035,0.146,0.633,
0.011,0.089,0.564,
0.024,0.150,0.520,
0.000,0.146,0.498,
-0.019,0.153,0.533,
-0.026,0.131,0.569,
-0.018,0.095,0.552,
-0.002,0.052,0.512,
0.005,0.030,0.503,
0.002,-0.003,0.537,
0.018,0.006,0.581,
0.019,0.000,0.618,
0.004,-0.030,0.698,
0.008,-0.085,0.734,
-0.007,-0.114,0.804,
-0.076,-0.119,0.939,
-0.132,-0.163,1.081,
-0.134,-0.200,1.229,
-0.149,-0.239,1.295,
-0.184,-0.185,1.265,
-0.217,-0.195,1.261,
-0.212,-0.246,1.395,
-0.156,-0.326,1.562,
-0.146,-0.377,1.657,
-0.216,-0.341,1.636,
-0.257,-0.266,1.547,
-0.237,-0.224,1.423,
-0.211,-0.172,1.308,
-0.197,-0.117,1.283,
-0.182,-0.077,1.243,
-0.180,-0.051,1.203,
-0.180,-0.029,1.157,
-0.157,0.004,1.019,
